title,description,artist,Country,culture,teaserText,url,image,regularImage,largeImage,date,medium,accessionNumber,galleryInformation;,
Boar,Kōhōsai,Kōhōsai,Japan,Japan,<p>Kōhōsai</p><p>Date: 19th century<br/>Accession Number: 10.211.899</p>,/art/collection/search/60193?&ft=boar&offset=0&rpp=100&amp;pos=1,https://images.metmuseum.org/CRDImages/as/mobile-large/10_211_899_O1_sf.jpg,as/web-additional/10_211_899_O1_sf.jpg,as/web-large/10_211_899_O1_sf.jpg,19th century,ivory,13.45.59,Not on view,
Boar,Tomotada (Japanese active late 18th–early 19th century),Tomotada,Japan,Japan,<p>Tomotada (Japanese active late 18th–early 19th century) </p><p>Date: late 18th–early 19th century<br/>Accession Number: 81.1.91</p>,/art/collection/search/59180?&ft=boar&offset=0&rpp=100&amp;pos=2,https://images.metmuseum.org/CRDImages/as/mobile-large/81_1_91_O1_sf.jpg,as/web-additional/81_1_91_O1_sf.jpg,as/web-large/81_1_91_O1_sf.jpg,19th century,ivory,81.02.31,Not on view,
Boar,,,Japan,Japan,<p>Date: 19th century<br/>Accession Number: 81.1.115</p>,/art/collection/search/59196?&ft=boar&offset=0&rpp=100&amp;pos=3,https://images.metmuseum.org/CRDImages/as/mobile-large/81_1_115_O1_sf.jpg,as/web-additional/81_1_115_O1_sf.jpg,as/web-large/81_1_115_O1_sf.jpg,19th century,ivory,81.02.55,Not on view,
Terracotta askos in the form of a boar,,,Greece,Greek or South Italian or Campanian,<p>Date: 4th century BCE<br/>Accession Number: 41.162.46</p>,/art/collection/search/254213?&ft=boar&offset=0&rpp=100&amp;pos=4,https://images.metmuseum.org/CRDImages/gr/mobile-large/DP1272_41.162.46.jpg,gr/web-additional/DP1272_41.162.46.jpg,gr/web-large/DP1272_41.162.46.jpg,1st millennia BCE,terracotta,43.42.46,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzQ5NTc3LDQwLjc3ODQ4NTYxQGxtQDI1MDg3MzgwNDg4OA==' target='_blank'>Gallery 161</a>,
Hercules and the Erymanthian boar,After a model by Giambologna (Netherlandish Douai 1529–1608 Florence),,Italy,Italian,<p>After a model by Giambologna (Netherlandish Douai 1529–1608 Florence) </p><p>Date: Late 17th or 18th century<br/>Accession Number: 1982.60.100</p>,/art/collection/search/207005?&ft=boar&offset=0&rpp=100&amp;pos=5,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-927-001.jpg,es/web-additional/DP-927-001.jpg,es/web-large/DP-927-001.jpg,18th century,metal,1983.01.40,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzUxMTY0LDQwLjc3OTI2NTc3QGxtQDQ5NzcxNjcyNTMxNw==' target='_blank'>Gallery 537</a>,
Standing Boar,,,Indonesia,Indonesia,<p>Date: ca. 14th century<br/>Accession Number: 1987.142.259</p>,/art/collection/search/39060?&ft=boar&offset=0&rpp=100&amp;pos=6,https://images.metmuseum.org/CRDImages/as/mobile-large/DP100682.jpg,as/web-additional/DP100682.jpg,as/web-large/DP100682.jpg,14th century,metal,1989.26.19,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTkyMjUzLDQwLjc4MDAzMDc3QGxtQDg2NzEwMzE5NzkzNA==' target='_blank'>Gallery 247</a>,
Pendant: recumbent boar,,,Italy,Etruscan or Italic,<p>Date: 5th century BCE<br/>Accession Number: 1992.11.16</p>,/art/collection/search/256080?&ft=boar&offset=0&rpp=100&amp;pos=7,https://images.metmuseum.org/CRDImages/gr/mobile-large/DP124722.jpg,gr/web-additional/DP124722.jpg,gr/web-large/DP124722.jpg,1st millennium BCE,amber,1992.11.16,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5NzAxLDQwLjc3ODA1MjcyQGxtQDE4MDg5MTI2Nzk1Mw==' target='_blank'>Gallery 170</a>,
Boar Amulet,,,Egypt,Egypt,<p>Date: 664–332 B.C.<br/>Accession Number: 10.130.2143</p>,/art/collection/search/555259?&ft=boar&offset=0&rpp=100&amp;pos=8,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1st millennium BCE,stone,12.45.43,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjUwMTEyLDQwLjc4MDE2MDA4QGxtQDEwNjI2MTI3MDkyMzY=' target='_blank'>Gallery 130</a>,
Relief with recumbent boar,,,Italy,Etrusco-Campanian,<p>Date: 5th century BCE<br/>Accession Number: 1992.11.17</p>,/art/collection/search/256081?&ft=boar&offset=0&rpp=100&amp;pos=9,https://images.metmuseum.org/CRDImages/gr/mobile-large/sf19921117edited.jpg,gr/web-additional/sf19921117edited.jpg,gr/web-large/sf19921117edited.jpg,1st millennium BCE,amber,1992.11.17,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzQ5NTc3LDQwLjc3ODQ4NTYxQGxtQDI1MDg3MzgwNDg4OA==' target='_blank'>Gallery 161</a>,
Chalcedony scaraboid seal,,,Greece,Greek,<p>Date: 5th century BCE<br/>Accession Number: 24.97.47</p>,/art/collection/search/251505?&ft=boar&offset=0&rpp=100&amp;pos=10,https://images.metmuseum.org/CRDImages/gr/mobile-large/DP142833.jpg,gr/web-additional/DP142833.jpg,gr/web-large/DP142833.jpg,1st millennium BCE,crystal,25.37.47,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>,
Hunt of the Caledonian Boar,Auguste Bretoneau (master 1638–43),Auguste Bretoneau,France,French,<p>Auguste Bretoneau (master 1638–43) </p><p>Date: ca. 1645–50<br/>Accession Number: 17.190.1626</p>,/art/collection/search/194214?&ft=boar&offset=0&rpp=100&amp;pos=11,https://images.metmuseum.org/CRDImages/es/mobile-large/ES602.jpg,es/web-additional/ES602.jpg,es/web-large/ES602.jpg,17th century,enamel,20.37.06,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzgzMjQ2LDQwLjc3OTEzNjQxQGxtQDk5Mzk5MjcxODgwMA==' target='_blank'>Gallery 532</a>,
Hercules Delivering the Erymanthean Boar to Eurystheus,François Lespingola (French 1644–1705),François Lespingola,France,French,<p>François Lespingola (French 1644–1705) </p><p>Date: last quarter 17th century<br/>Accession Number: 64.101.1486</p>,/art/collection/search/203958?&ft=boar&offset=0&rpp=100&amp;pos=12,https://images.metmuseum.org/CRDImages/es/mobile-large/DP228788.jpg,es/web-additional/DP228788.jpg,es/web-large/DP228788.jpg,17th century,metal,66.05.46,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2NDA2NDk0LDQwLjc3OTQ5ODlAbG1AMTkzNzc1NjczMTUx' target='_blank'>Gallery 522</a>,
Shaft-hole axe head with bird-headed demon boar and dragon,,,Iran,Bactria-Margiana Archaeological Complex,<p>Date: ca. late 3rd–early 2nd millennium BCE<br/>Accession Number: 1982.5</p>,/art/collection/search/329076?&ft=boar&offset=0&rpp=100&amp;pos=13,https://images.metmuseum.org/CRDImages/an/mobile-large/1982.5.jpg,an/web-additional/1982.5.jpg,an/web-large/1982.5.jpg,2nd millennium BCE,metal,1982.5,Not on view,
Terracotta oinochoe (jug),,Attributed to the Painter of London B 620,Greece,Greek,<p>Attributed to the Painter of London B 620</p><p>Date: ca. 520 BCE<br/>Accession Number: 46.11.7</p>,/art/collection/search/254547?&ft=boar&offset=0&rpp=100&amp;pos=14,https://images.metmuseum.org/CRDImages/gr/mobile-large/DT241630.jpg,gr/web-additional/DT241630.jpg,gr/web-large/DT241630.jpg,1st millennium BCE,terracotta,46.11.07,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzA1Nzg3LDQwLjc3ODczMjY5QGxtQDMxOTg2OTAzNDYzNQ==' target='_blank'>Gallery 154</a>,
Boar,Leonard Baskin (American New Brunswick New Jersey 1922–2000 Northampton Massachusetts),Leonard Baskin,USA,American,<p>Leonard Baskin (American New Brunswick New Jersey 1922–2000 Northampton Massachusetts) </p> <p>Date: 1957<br/>Accession Number: 2002.397.13</p>,/art/collection/search/358506?&ft=boar&offset=0&rpp=100&amp;pos=15,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th century,wood,2008.37.13,Not on view,
Terracotta statuette of Eros on a boar,,,Greece,Greek South Italian,<p>Date: 3rd century BCE<br/>Accession Number: 19.192.75</p>,/art/collection/search/250807?&ft=boar&offset=0&rpp=100&amp;pos=16,https://images.metmuseum.org/CRDImages/gr/mobile-large/DP145545.jpg,gr/web-additional/DP145545.jpg,gr/web-large/DP145545.jpg,1st millennium BCE,terracotta,22.13.15,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>,
Marble relief with Herakles carrying the Erymanthian Boar,,,Italy,Roman,<p>Date: 27 BCE–68 CE<br/>Accession Number: 13.60</p>,/art/collection/search/248739?&ft=boar&offset=0&rpp=100&amp;pos=17,https://images.metmuseum.org/CRDImages/gr/mobile-large/DP118125.jpg,gr/web-additional/DP118125.jpg,gr/web-large/DP118125.jpg,1st century,marble,14.00,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzUzNzcsNDAuNzc4MjQ2MDNAbG1ANDU5MjM1NDk0NTAw' target='_blank'>Gallery 162</a>,
Vessel in the form of a boar,,,Iran,Proto-Elamite,<p>Date: ca. 3100–2900 BCE<br/>Accession Number: 1979.71</p>,/art/collection/search/326617?&ft=boar&offset=0&rpp=100&amp;pos=18,https://images.metmuseum.org/CRDImages/an/mobile-large/DT4907.jpg,an/web-additional/DT4907.jpg,an/web-large/DT4907.jpg,3rd millennium BCE,ceramic,1980.11.00,Not on view,
Bronze plaque in the shape of a boar,,,Greece,Greek,<p>Date: ca. 5th–4th century BCE<br/>Accession Number: 2002.200</p>,/art/collection/search/257597?&ft=boar&offset=0&rpp=100&amp;pos=19,https://images.metmuseum.org/CRDImages/gr/mobile-large/SF2002200edited.jpg,gr/web-additional/SF2002200edited.jpg,gr/web-large/SF2002200edited.jpg,1st millennium BCE,metal,2005.20.00,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzA1Nzg3LDQwLjc3ODczMjY5QGxtQDMxOTg2OTAzNDYzNQ==' target='_blank'>Gallery 154</a>,
Chalcedony scaraboid,,,Greece,Graeco-Persian,<p>Date: 2nd half of the 5th century BCE<br/>Accession Number: 41.160.443</p>,/art/collection/search/253673?&ft=boar&offset=0&rpp=100&amp;pos=20,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1st millennium BCE,crystal,43.47.23,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0MDY5LDQwLjc3ODY5ODI4QGxtQDQyMDQ5NjQ3NTAzNw==' target='_blank'>Gallery 157</a>,
